iter	Logloss
174	0.1598339192
175	0.1596614905
176	0.1595668578
177	0.1592643844
178	0.1589950885
179	0.1586787967
180	0.1582639161
181	0.1577295886
182	0.1573671626
183	0.1570971615
184	0.156572811
185	0.1563048842
186	0.155982456
187	0.1557701654
188	0.1555892625
189	0.1554209557
190	0.1549940029
191	0.1547063668
192	0.154261742
193	0.1539062618
194	0.1535538908
195	0.1530250123
196	0.1528832014
197	0.1525598438
198	0.1524351871
199	0.1523409131
200	0.1519838014
201	0.1515307753
202	0.1512425496
203	0.1509446874
204	0.1504785143
205	0.1503991276
206	0.1503003083
207	0.1499886104
208	0.1498451903
209	0.1494757136
210	0.149290376
211	0.1489638198
212	0.1484663389
213	0.1481231524
214	0.1477144349
215	0.1474816197
216	0.1471789705
217	0.1468439148
218	0.1466690383
219	0.1464325814
220	0.146032462
221	0.1456023646
222	0.1452199615
223	0.144932449
224	0.1445597959
225	0.1444146397
226	0.1439349012
227	0.1438254267
228	0.1434586173
229	0.1433852182
230	0.1431732839
231	0.142930761
232	0.1426862177
233	0.1425117431
234	0.142408493
235	0.1419424446
236	0.1414846381
237	0.1413024817
238	0.1409160297
239	0.1408416821
240	0.1407417743
241	0.1406169866
242	0.1404054576
243	0.1402762228
244	0.1401903197
245	0.1399554286
246	0.1398533211
247	0.1395553504
248	0.1394828303
249	0.1393762853
250	0.1390280028
251	0.1387929519
252	0.1387414802
253	0.1386701975
254	0.1385178163
255	0.1381819574
256	0.1379291027
257	0.1377059983
258	0.1376513448
259	0.1374039557
260	0.1370410584
261	0.1367983101
262	0.1365666528
263	0.1365099256
264	0.136352611
265	0.1362493264
266	0.1360344892
267	0.1358908768
268	0.1356169923
269	0.135546489
270	0.1354089565
271	0.1352535997
272	0.135126494
273	0.1349074764
274	0.134843896
275	0.1346067478
276	0.1345309403
277	0.1343441099
278	0.1342746499
279	0.1342052771
280	0.1341395368
281	0.1340377466
282	0.1339032234
283	0.1334933526
284	0.1332822896
285	0.1331550805
286	0.1331120526
287	0.1329071514
288	0.1328556321
289	0.1328127991
290	0.1327281075
291	0.1325638951
292	0.1324772474
293	0.1323849538
294	0.1323470783
295	0.1321774253
296	0.1320220028
297	0.1319874904
298	0.13182033
299	0.1317271047
300	0.131621212
301	0.1315181844
302	0.1314422649
303	0.1313962576
304	0.131338225
305	0.1312962586
306	0.1312142827
307	0.1310245598
308	0.130953779
309	0.1308547805
310	0.1307954645
311	0.1307164592
312	0.130656663
313	0.1306162681
314	0.1305545346
315	0.1305102605
316	0.1304072408
317	0.1303301332
318	0.1302825527
319	0.1302036413
320	0.1300585227
321	0.1299944244
322	0.1299349656
323	0.1298149138
324	0.1297324871
325	0.1295987818
326	0.1295612604
327	0.1295133758
328	0.129478616
329	0.1293544359
330	0.1292868092
331	0.1292393384
332	0.1290738557
333	0.129038581
334	0.128969028
335	0.1288504299
336	0.1288001641
337	0.1287315642
338	0.1286938667
339	0.1286309472
340	0.128576543
341	0.1284956016
342	0.1284120961
343	0.1283667063
344	0.1281508095
345	0.1280971966
346	0.1279927141
347	0.1279216415
348	0.1277717844
349	0.1276464831
350	0.1276093378
351	0.1275487127
352	0.1273727634
353	0.1272894611
354	0.1271956066
355	0.1270272538
356	0.1269767754
357	0.1268259812
358	0.1267697522
359	0.12673609
360	0.1266513358
361	0.1265790668
362	0.1265059239
363	0.1264727083
364	0.126441737
365	0.126415451
366	0.1263685148
367	0.1263299881
368	0.1262737863
369	0.1262330808
370	0.1261725026
371	0.1261462465
372	0.1260188846
373	0.1259662408
374	0.1258633833
375	0.1257993708
376	0.1256764345
377	0.1256476965
378	0.1253971242
379	0.1253360559
380	0.1253010293
381	0.12522764
382	0.1251847643
383	0.1251500235
384	0.1251084491
385	0.1250899935
386	0.1250398486
387	0.1250098188
388	0.1249531393
389	0.1249196957
390	0.1248713552
391	0.1248265036
392	0.1247543048
393	0.1247186796
394	0.1246881452
395	0.1246515964
396	0.1245772253
397	0.1245194141
398	0.1244867702
399	0.1244018999
400	0.1242070272
401	0.1241641173
402	0.1241240048
403	0.124098952
404	0.1239014589
405	0.1238605989
406	0.1237986808
407	0.12375631
408	0.1237094889
409	0.1236253837
410	0.1235829124
411	0.1235241973
412	0.1234749421
413	0.1234337314
414	0.12338667
415	0.1233190987
416	0.1232814202
417	0.1232262699
418	0.1231885149
419	0.1230826478
420	0.1230443107
421	0.1230156356
422	0.1228147316
423	0.1226762502
424	0.1226428144
425	0.1226098283
426	0.1225012349
427	0.1224593572
428	0.1224260127
429	0.1223804538
430	0.1223407702
431	0.1223013979
432	0.1222766911
433	0.1222387112
434	0.122202164
435	0.1221732839
436	0.1220266309
437	0.1219452185
438	0.1216391339
439	0.1215976662
440	0.1215657425
441	0.1214814547
442	0.1214475341
443	0.1213932431
444	0.121355146
445	0.1212190142
446	0.1211684925
447	0.1211331921
448	0.1210956515
449	0.121040184
450	0.1210074921
451	0.1209614354
452	0.1209311892
453	0.1208793356
454	0.1208489225
455	0.1208106521
456	0.1207715907
457	0.1207365686
458	0.1207124344
459	0.1206773103
460	0.1206366558
461	0.1206051899
462	0.1205591706
463	0.1205270478
464	0.1204801476
465	0.1204380154
466	0.1203753871
467	0.1203421763
468	0.1201798038
469	0.1201383606
470	0.12010461
471	0.1198774394
472	0.119837843
473	0.1197881182
474	0.1196691503
475	0.1196284538
476	0.1196047706
477	0.1193437935
478	0.1193172964
479	0.1192801365
480	0.1192381644
481	0.1190230996
482	0.1189905241
483	0.1189387088
484	0.1188851585
485	0.1188613863
486	0.1188140438
487	0.1187175327
488	0.1185574541
489	0.1184291897
490	0.1183897572
491	0.1183180697
492	0.1182602326
493	0.1182318693
494	0.1181699386
495	0.1181340311
496	0.1181039162
497	0.1180753455
498	0.1180346386
499	0.1179967103
500	0.1179297519
501	0.1178824732
502	0.1178488929
503	0.1176736509
504	0.1176316957
505	0.117479815
506	0.1174530825
507	0.117417563
508	0.1173773079
509	0.1172581481
510	0.117224716
511	0.1171774118
512	0.1169306613
513	0.1168719247
514	0.1167178495
515	0.1166781973
516	0.1165192366
517	0.1164886571
518	0.1164569113
519	0.1164127532
520	0.1163817181
521	0.1163453238
522	0.1163050079
523	0.1162566017
524	0.1162222851
525	0.1161723176
526	0.1161309633
527	0.1161097054
528	0.1160719313
529	0.1160372626
530	0.1159991812
531	0.1159561009
532	0.1159127738
533	0.1158330885
534	0.1157928457
535	0.1157414907
536	0.11570347
537	0.1156531972
538	0.1156195768
539	0.1155798584
540	0.1155337631
541	0.1155011446
542	0.1154543729
543	0.1152067243
544	0.1151778756
545	0.1151295499
546	0.1150851023
547	0.1147207359
548	0.1146834659
549	0.1146468573
550	0.1145009501
551	0.1144581907
552	0.1144014802
553	0.1143694883
554	0.1143303884
555	0.1142818057
556	0.1142461214
557	0.1140417194
558	0.1140084909
559	0.1139641767
560	0.1139274952
561	0.11387969
562	0.1136954012
563	0.1136416424
564	0.1136037172
565	0.11351052
566	0.1134759074
567	0.1134333469
568	0.1133903968
569	0.1132798696
570	0.1130810857
571	0.1130387269
572	0.1129961408
573	0.1129610778
574	0.112772693
575	0.1127236372
576	0.1126756584
577	0.1126386065
578	0.1126084548
579	0.1125661824
580	0.1125255823
581	0.1124760669
582	0.1123668356
583	0.1123059313
584	0.1122729458
585	0.1122372364
586	0.1121769265
587	0.112139732
588	0.1121001555
589	0.1120421764
590	0.1118204302
591	0.11178184
592	0.1115575051
593	0.1115227553
594	0.1114821357
595	0.1114455617
596	0.1114106377
597	0.1113758426
598	0.1113223014
599	0.1112810193
600	0.1112267188
601	0.1111821133
602	0.1111344074
603	0.1110836427
604	0.1109436112
605	0.1108599613
606	0.1108053801
607	0.1107685876
608	0.1107221178
609	0.1106858037
610	0.1103592309
611	0.1103243995
612	0.1102708271
613	0.1102212595
614	0.1101789484
615	0.1101415774
616	0.109856154
617	0.1098206459
618	0.1097874269
619	0.1097522965
620	0.1096976234
621	0.1096516308
622	0.1096086475
623	0.1095684007
624	0.1095359104
625	0.1094982515
626	0.1094650483
627	0.1092070601
628	0.1091694369
629	0.1091386756
630	0.1091048488
631	0.109074244
632	0.1090396669
633	0.1087493494
634	0.108713348
635	0.108679622
636	0.1086013065
637	0.1085690789
638	0.1085112766
639	0.1084776823
640	0.1084451112
641	0.108410932
642	0.1081385471
643	0.1081069072
644	0.1080459951
645	0.1080123996
646	0.1079776877
647	0.1079465938
648	0.1079006556
649	0.1078673877
650	0.1078353929
651	0.1077699255
652	0.1077340159
653	0.1076839846
654	0.1076518911
655	0.1076120548
656	0.1075695388
657	0.1075112543
658	0.1074798726
659	0.1073758861
660	0.107332466
661	0.1073023445
662	0.1072704248
663	0.1072400044
664	0.1071810423
665	0.1071498192
666	0.1071122057
667	0.1070808895
668	0.1070502531
669	0.1069821604
670	0.1069213352
671	0.1068846339
672	0.106831816
673	0.1068013475
674	0.1067571035
675	0.106725779
676	0.1066951905
677	0.1063965142
678	0.1063030115
679	0.1062725544
680	0.1062358374
681	0.1062050642
682	0.1061763534
683	0.1061037389
684	0.1060577447
685	0.1060106087
686	0.1059770692
687	0.1059495943
688	0.1059005147
689	0.1058710026
690	0.1058391071
691	0.1058023472
692	0.1057718173
693	0.1057432926
694	0.1056351495
695	0.1052230152
696	0.1051922257
697	0.1051631649
698	0.1047388961
699	0.1043332092
700	0.104275179
701	0.1042462538
702	0.1041759724
703	0.1041308494
704	0.1040951173
705	0.1040596126
706	0.104030267
707	0.1037638012
708	0.1036987604
709	0.1036701067
710	0.1035887948
711	0.1033343114
712	0.1033049523
713	0.1032543035
714	0.1031877926
715	0.1031588112
716	0.1031297206
717	0.1031003476
718	0.1030714081
719	0.1030434342
720	0.1030146679
721	0.1029840169
722	0.1026439994
723	0.1026157398
724	0.1025881019
725	0.1025612959
726	0.1025336658
727	0.1024767573
728	0.1021613048
729	0.1019165132
730	0.1015651646
731	0.1014680315
732	0.1014087802
733	0.1013803478
734	0.1013354756
735	0.1010205239
736	0.1009475176
737	0.1008475447
738	0.1008196834
739	0.100769392
740	0.1007417235
741	0.1007125182
742	0.1006857787
743	0.1004499693
744	0.1004226866
745	0.1003954209
746	0.1003680093
747	0.1000409384
748	0.09999385863
749	0.09996743005
750	0.09990395294
751	0.09987761027
752	0.09982383987
753	0.09979660489
754	0.09976113086
755	0.09941090243
756	0.09936297519
757	0.09932523852
758	0.09926082835
759	0.09921502675
760	0.09918822048
761	0.09901358661
762	0.09898623698
763	0.09895928184
764	0.09858822759
765	0.09852366094
766	0.09821999862
767	0.09799985848
768	0.09794433391
769	0.09791701015
770	0.09763163007
771	0.09760543166
772	0.09755315916
773	0.09747306235
774	0.09744526242
775	0.09723439899
776	0.09713982772
777	0.09688405582
778	0.09685652831
779	0.09666988497
780	0.09664363103
781	0.09656069088
782	0.09651777411
783	0.09649092068
784	0.09646500769
785	0.09642445793
786	0.09639841913
787	0.09634614596
788	0.09630676453
789	0.09628012361
790	0.09622784116
791	0.09620145176
792	0.09592460191
793	0.09589892379
794	0.09587267434
795	0.0958465675
796	0.09566818216
797	0.09564231853
798	0.09549330895
799	0.09545399834
800	0.09542868108
801	0.09513730907
802	0.09511226052
803	0.09488336822
804	0.09461463237
805	0.0945555391
806	0.09453000411
807	0.09448732883
808	0.0944057735
809	0.09426668692
810	0.09421368879
811	0.09418768298
812	0.09416206308
813	0.0941361805
814	0.09411094659
815	0.09408584698
816	0.0940606128
817	0.09385396738
818	0.09382604793
819	0.09380142654
820	0.09377680591
821	0.09375193545
822	0.09372639836
823	0.09368093578
824	0.09365691628
825	0.09361891478
826	0.09359472126
827	0.09342525551
828	0.09340130316
829	0.09311335793
830	0.093088686
831	0.0930642269
832	0.09278590639
833	0.09267019479
834	0.09264563516
835	0.09260566715
836	0.09258138158
837	0.09255852943
838	0.09253450687
839	0.0925106293
840	0.0924638217
841	0.09231891872
842	0.09225055294
843	0.09222674269
844	0.09220266101
845	0.092178842
846	0.09214004859
847	0.09211689345
848	0.09209342968
849	0.09202228499
850	0.09198410405
851	0.09196004634
852	0.09193584049
853	0.09191249953
854	0.09165339521
855	0.09163000407
856	0.09158679871
857	0.09138617583
858	0.09136280143
859	0.09134021684
860	0.09131722
861	0.09119722533
862	0.09117427073
863	0.09112968642
864	0.09085818142
865	0.09081345254
866	0.09060690425
867	0.09048007713
868	0.09045781162
869	0.09043486836
870	0.09041206488
871	0.09036763434
872	0.09034610814
873	0.09032334663
874	0.09030170194
875	0.0900445899
876	0.09002265159
877	0.0900001167
878	0.08995369828
879	0.08993160264
880	0.0896258851
881	0.08960333646
882	0.08956612087
883	0.08954368125
884	0.08949517052
885	0.08947292942
886	0.08943058264
887	0.0894083161
888	0.08914306328
889	0.08912038489
890	0.08909846565
891	0.08905765571
892	0.089010997
893	0.08898957911
894	0.08896737971
895	0.08894631724
896	0.08892438633
897	0.08890263186
898	0.08864063196
899	0.0886185194
900	0.08859692422
901	0.08856173107
902	0.08854040532
903	0.0885183057
904	0.08849760095
905	0.08834321927
906	0.08832169124
907	0.08830054906
908	0.08827857507
909	0.08825739927
910	0.08798292535
911	0.08794239432
912	0.087921656
913	0.087885391
914	0.08764070463
915	0.08761937254
916	0.08759819412
917	0.08757720297
918	0.08732425916
919	0.08728087153
920	0.08724150715
921	0.08722032315
922	0.08696285928
923	0.08675420223
924	0.08645261494
925	0.08641739984
926	0.08639667063
927	0.08637534449
928	0.08632983128
929	0.08603518264
930	0.08599210202
931	0.08597078449
932	0.08575868787
933	0.08555818637
934	0.0855367459
935	0.08551604216
936	0.08548130287
937	0.08543478537
938	0.08541429123
939	0.08539381396
940	0.08537284872
941	0.08535250008
942	0.08533163566
943	0.08529171231
944	0.08524566891
945	0.0850672962
946	0.08504713747
947	0.0848301682
948	0.08480911091
949	0.084769974
950	0.08474927743
951	0.0847284885
952	0.08470803819
953	0.08468759873
954	0.0846670781
955	0.08462703801
956	0.08460685302
957	0.08458678568
958	0.08453974093
959	0.08451936303
960	0.08449969541
961	0.0844793956
962	0.08418313697
963	0.08405483673
964	0.08402178406
965	0.08400142291
966	0.08398127153
967	0.08394289869
968	0.08392319197
969	0.08390341538
970	0.08388334767
971	0.08386375002
972	0.08381869594
973	0.08372642483
974	0.08370682995
975	0.08366834777
976	0.08364786476
977	0.08342349955
978	0.0833881081
979	0.08336847392
980	0.08334858791
981	0.08332964197
982	0.08311110609
983	0.08309189153
984	0.08307215959
985	0.08303358072
986	0.08301392863
987	0.08299410128
988	0.08275543901
989	0.08273612369
990	0.08271718591
991	0.08255663071
992	0.08253775464
993	0.08251822086
994	0.08248310043
995	0.08246438928
996	0.08244510434
997	0.08242600148
998	0.082385409
999	0.082349709
